 v-sweep       d0            d1            d2            d3            d4            d5            d6            d7            d8            d9            in            load          v-sweep       vmeas#branch  vmeas1#branch vmeas2#branch vmeas4#branch vmeas5#branch vout          ndata        
 0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.516440e-04  0.000000e+00  3.999948e-07  9.999956e-07  1.143049e-09  1.588543e-05 -7.080411e-09  2.808399e-04  0.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.258150e-02  0.000000e+00  3.999965e-07  9.999979e-07 -4.438555e-07  1.621608e-05  1.341542e-09  5.259491e-02  1.000000e+00 
 0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  9.872080e-02  0.000000e+00  3.999964e-07  9.999973e-07 -4.413486e-07  1.800632e-05  5.334894e-10  9.872613e-02  2.000000e+00 
 0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.765397e-01  0.000000e+00  3.999956e-07  9.999956e-07  9.844777e-10  1.605179e-05  4.098098e-10  1.765438e-01  4.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.109439e-01  0.000000e+00  3.999955e-07  9.999956e-07  9.854899e-10  1.604496e-05 -4.843786e-10  2.109390e-01  5.000000e+00 
 0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.426239e-01  0.000000e+00  3.999956e-07  9.999956e-07  9.857106e-10  1.604750e-05  2.266500e-10  2.426261e-01  6.000000e+00 
 0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.722086e-01  0.000000e+00  3.999956e-07  9.999956e-07  9.860193e-10  1.604813e-05  4.762197e-11  2.722091e-01  7.000000e+00 
 0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.001166e-01  0.000000e+00  3.999956e-07  9.999956e-07  8.293384e-10  1.605845e-05 -1.844408e-10  3.001147e-01  8.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.264534e-01  0.000000e+00  3.999956e-07  9.999956e-07  9.850199e-10  1.604769e-05 -1.288920e-10  3.264522e-01  9.000000e+00 
 0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.511140e-01  0.000000e+00  3.999956e-07  9.999956e-07  9.858658e-10  1.604960e-05  3.525512e-10  3.511175e-01  1.000000e+01 
