 v-sweep       d0            d1            d2            d3            d4            d5            d6            d7            d8            d9            in            ir1           ir2           ivdd          ivdda         ivddh         load          v-sweep       vd0           vd1           vd2           vd3           vd4           vd5           vd6           vd7           vd8           vd9           vloadval      vmeas#branch  vmeas1#branch vmeas2#branch vmeas3#branch vmeas4#branch vmeas5#branch vout          voutval       x1.p_in[0]    x1.p_in[1]    x1.p_in[2]    x1.p_in[3]    x1.p_in[4]    x1.v[0]       x1.v[1]       x1.v[62]      x1.v[63]      x1.v[64]      x1.v[65]      x1.v[111]     x1.v[112]     x1.v[113]     x1.v[114]     x1.v[126]     x1.v[127]     x1.v[128]     x1.v[129]     x1.v[190]     x1.v[191]     x1.vh2        x1.vh3        x1.vl2        x1.vl3        x1.vs1        x1.vs4       
 0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.131501e-07  1.018756e-06  2.343533e-10  9.096430e-06  8.961729e-10  3.156736e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.156736e-04  5.131501e-07  1.018756e-06  2.343533e-10  9.096430e-06  8.961729e-10 -2.133464e-20  3.156736e-04  3.156736e-04  1.444277e-06  1.444277e-06  1.444277e-06  1.444277e-06  1.444277e-06  0.000000e+00  5.263884e-02  1.027566e+00  1.036161e+00  1.044219e+00  1.167224e+00  3.948090e+00  4.016312e+00  4.051229e+00  4.087221e+00  4.605061e+00  4.660390e+00  4.718942e+00  4.726463e+00  5.471530e+00  5.500000e+00  2.946251e+00  4.363871e+00  2.895757e+00  4.320898e+00  1.390188e-06  4.718942e+00 
 1.757813e-03  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.757813e-03  5.131501e-07  1.018756e-06  2.343556e-10  9.196921e-06  8.948299e-10  5.251300e-02  1.757813e-03  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.251300e-02  5.131501e-07  1.018756e-06  2.343556e-10  9.196921e-06  8.948299e-10 -1.934941e-20  5.251300e-02  5.251300e-02  5.264046e-02  5.264046e-02  5.264046e-02  5.264046e-02  5.264046e-02  0.000000e+00  5.263932e-02  1.027567e+00  1.036162e+00  1.044220e+00  1.167225e+00  3.948092e+00  4.016313e+00  4.051231e+00  4.087222e+00  4.605062e+00  4.660390e+00  4.718942e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946254e+00  4.363872e+00  2.895760e+00  4.320899e+00  5.264042e-02  4.726464e+00 
 3.515625e-03  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.515625e-03  5.131501e-07  1.018756e-06  2.343529e-10  9.220900e-06  8.939595e-10  9.873030e-02  3.515625e-03  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  9.873030e-02  5.131501e-07  1.018756e-06  2.343529e-10  9.220900e-06  8.939595e-10 -2.253902e-20  9.873030e-02  9.873030e-02  9.883464e-02  9.883464e-02  9.883464e-02  9.883464e-02  9.883464e-02  0.000000e+00  5.263929e-02  1.027567e+00  1.036163e+00  1.044220e+00  1.167225e+00  3.948092e+00  4.016314e+00  4.051231e+00  4.087223e+00  4.605062e+00  4.660391e+00  4.718943e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946254e+00  4.363872e+00  2.895761e+00  4.320899e+00  9.883460e-02  4.733985e+00 
 5.273438e-03  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.273438e-03  5.131501e-07  1.018756e-06  2.343545e-10  9.228060e-06  8.928440e-10  1.395600e-01  5.273438e-03  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.395600e-01  5.131501e-07  1.018756e-06  2.343545e-10  9.228060e-06  8.928440e-10  3.437101e-20  1.395600e-01  1.395600e-01  1.396570e-01  1.396570e-01  1.396570e-01  1.396570e-01  1.396570e-01  0.000000e+00  5.263927e-02  1.027568e+00  1.036163e+00  1.044221e+00  1.167226e+00  3.948092e+00  4.016314e+00  4.051231e+00  4.087223e+00  4.605062e+00  4.660391e+00  4.718943e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946254e+00  4.363872e+00  2.895761e+00  4.320899e+00  1.396569e-01  4.742043e+00 
 7.031250e-03  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  7.031250e-03  5.131501e-07  1.018756e-06  2.343538e-10  9.231252e-06  8.917711e-10  1.766270e-01  7.031250e-03  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.766270e-01  5.131501e-07  1.018756e-06  2.343538e-10  9.231252e-06  8.917711e-10  1.383708e-20  1.766270e-01  1.766270e-01  1.767201e-01  1.767201e-01  1.767201e-01  1.767201e-01  1.767201e-01  0.000000e+00  5.263925e-02  1.027568e+00  1.036163e+00  1.044221e+00  1.167226e+00  3.948092e+00  4.016314e+00  4.051231e+00  4.087223e+00  4.605062e+00  4.660391e+00  4.718943e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946255e+00  4.363872e+00  2.895761e+00  4.320899e+00  1.767201e-01  4.749564e+00 
 8.789062e-03  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  8.789062e-03  5.131501e-07  1.018756e-06  2.343530e-10  9.233112e-06  8.913625e-10  2.110067e-01  8.789062e-03  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.110067e-01  5.131501e-07  1.018756e-06  2.343530e-10  9.233112e-06  8.913625e-10  1.567805e-19  2.110067e-01  2.110067e-01  2.110974e-01  2.110974e-01  2.110974e-01  2.110974e-01  2.110974e-01  0.000000e+00  5.263923e-02  1.027568e+00  1.036163e+00  1.044221e+00  1.167226e+00  3.948092e+00  4.016314e+00  4.051231e+00  4.087223e+00  4.605062e+00  4.660391e+00  4.718943e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946255e+00  4.363873e+00  2.895762e+00  4.320899e+00  2.110973e-01  4.757622e+00 
 1.054688e-02  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.054688e-02  5.131501e-07  1.018756e-06  2.343558e-10  9.234381e-06  8.898810e-10  2.426999e-01  1.054688e-02  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.426999e-01  5.131501e-07  1.018756e-06  2.343558e-10  9.234381e-06  8.898810e-10 -1.973785e-19  2.426999e-01  2.426999e-01  2.427886e-01  2.427886e-01  2.427886e-01  2.427886e-01  2.427886e-01  0.000000e+00  5.263922e-02  1.027568e+00  1.036163e+00  1.044221e+00  1.167226e+00  3.948092e+00  4.016314e+00  4.051231e+00  4.087223e+00  4.605062e+00  4.660391e+00  4.718943e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946255e+00  4.363873e+00  2.895762e+00  4.320899e+00  2.427886e-01  4.765142e+00 
 1.230469e-02  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.230469e-02  5.131501e-07  1.018756e-06  2.343565e-10  9.235394e-06  8.896821e-10  2.722443e-01  1.230469e-02  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.722443e-01  5.131501e-07  1.018756e-06  2.343565e-10  9.235394e-06  8.896821e-10 -1.101143e-20  2.722443e-01  2.722443e-01  2.723315e-01  2.723315e-01  2.723315e-01  2.723315e-01  2.723315e-01  0.000000e+00  5.263921e-02  1.027568e+00  1.036163e+00  1.044221e+00  1.167226e+00  3.948092e+00  4.016314e+00  4.051231e+00  4.087223e+00  4.605062e+00  4.660391e+00  4.718943e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946254e+00  4.363873e+00  2.895762e+00  4.320899e+00  2.723315e-01  4.773200e+00 
 1.406250e-02  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.406250e-02  5.131501e-07  1.018756e-06  2.343536e-10  9.236326e-06  8.833760e-10  3.001774e-01  1.406250e-02  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.001774e-01  5.131501e-07  1.018756e-06  2.343536e-10  9.236326e-06  8.833760e-10 -1.310254e-20  3.001774e-01  3.001774e-01  3.002633e-01  3.002633e-01  3.002633e-01  3.002633e-01  3.002633e-01  0.000000e+00  5.263916e-02  1.027568e+00  1.036163e+00  1.044221e+00  1.167226e+00  3.948092e+00  4.016313e+00  4.051231e+00  4.087222e+00  4.605062e+00  4.660390e+00  4.718942e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946254e+00  4.408457e+00  2.895761e+00  4.363872e+00  3.002632e-01  4.781258e+00 
 1.582031e-02  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.582031e-02  5.131501e-07  1.018756e-06  2.343529e-10  9.237283e-06  8.830349e-10  3.264987e-01  1.582031e-02  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.264987e-01  5.131501e-07  1.018756e-06  2.343529e-10  9.237283e-06  8.830349e-10 -2.409743e-19  3.264987e-01  3.264987e-01  3.265835e-01  3.265835e-01  3.265835e-01  3.265835e-01  3.265835e-01  0.000000e+00  5.263915e-02  1.027568e+00  1.036163e+00  1.044221e+00  1.167226e+00  3.948092e+00  4.016313e+00  4.051231e+00  4.087222e+00  4.605062e+00  4.660390e+00  4.718942e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946254e+00  4.408457e+00  2.895761e+00  4.363872e+00  3.265835e-01  4.789316e+00 
