 v-sweep       voutval       vloadval      ir1           ir2           ivdd          ivdda         ivddh         ndata         vd9           vd8           vd7           vd6           vd5           vd4           vd3           vd2           vd1           vd0          
 5.000000e+00  3.156787e-04  3.156787e-04  5.131501e-07  1.018756e-06  2.343533e-10  9.096424e-06  8.966095e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  5.251301e-02  5.251301e-02  5.131501e-07  1.018756e-06  2.343529e-10  9.196913e-06  8.953199e-10  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  9.873031e-02  9.873031e-02  5.131501e-07  1.018756e-06  2.343549e-10  9.220890e-06  8.941924e-10  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  1.395600e-01  1.395600e-01  5.131501e-07  1.018756e-06  2.343557e-10  9.228048e-06  8.931528e-10  3.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  1.766270e-01  1.766270e-01  5.131501e-07  1.018756e-06  2.343546e-10  9.231240e-06  8.921743e-10  4.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  2.110067e-01  2.110067e-01  5.131501e-07  1.018756e-06  2.343529e-10  9.233097e-06  8.915914e-10  5.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  2.426999e-01  2.426999e-01  5.131501e-07  1.018756e-06  2.343527e-10  9.234369e-06  8.904573e-10  6.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  2.722443e-01  2.722443e-01  5.131501e-07  1.018756e-06  2.343571e-10  9.235385e-06  8.900250e-10  7.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  3.001773e-01  3.001773e-01  5.131501e-07  1.018756e-06  2.343543e-10  9.236315e-06  8.835002e-10  8.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  3.264987e-01  3.264987e-01  5.131501e-07  1.018756e-06  2.343510e-10  9.237278e-06  8.832171e-10  9.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  3.512092e-01  3.512092e-01  5.131501e-07  1.018756e-06  2.343559e-10  9.238359e-06  8.832318e-10  1.000000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  3.748443e-01  3.748443e-01  5.131501e-07  1.018756e-06  2.343574e-10  9.239678e-06  8.819219e-10  1.100000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  3.974051e-01  3.974051e-01  5.131501e-07  1.018756e-06  2.343541e-10  9.241348e-06  8.816325e-10  1.200000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  4.188917e-01  4.188917e-01  5.131501e-07  1.018756e-06  2.343526e-10  9.243486e-06  8.813977e-10  1.300000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  4.398416e-01  4.398416e-01  5.131501e-07  1.018756e-06  2.343533e-10  9.246306e-06  8.805577e-10  1.400000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  4.597173e-01  4.597173e-01  5.131501e-07  1.018756e-06  2.343551e-10  9.249911e-06  8.802627e-10  1.500000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  4.790531e-01  4.790531e-01  5.131501e-07  1.018756e-06  2.350748e-10  9.254583e-06  8.490314e-10  1.600000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  4.973167e-01  4.973167e-01  5.131501e-07  1.018756e-06  2.350727e-10  9.260385e-06  8.489559e-10  1.700000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  5.155803e-01  5.155803e-01  5.131501e-07  1.018756e-06  2.350727e-10  9.267916e-06  8.481588e-10  1.800000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  5.327697e-01  5.327697e-01  5.131501e-07  1.018756e-06  2.350770e-10  9.276974e-06  8.482329e-10  1.900000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  5.499591e-01  5.499591e-01  5.131501e-07  1.018756e-06  2.350733e-10  9.288362e-06  8.479497e-10  2.000000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  5.660743e-01  5.660743e-01  5.131501e-07  1.018756e-06  2.350750e-10  9.301548e-06  8.477968e-10  2.100000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  5.821896e-01  5.821896e-01  5.131501e-07  1.018756e-06  2.350748e-10  9.317557e-06  8.476971e-10  2.200000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  5.977674e-01  5.977674e-01  5.131501e-07  1.018756e-06  2.350739e-10  9.336045e-06  8.465521e-10  2.300000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  6.133448e-01  6.133448e-01  5.131501e-07  1.018756e-06  2.350731e-10  9.357795e-06  8.414577e-10  2.400000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  6.278485e-01  6.278485e-01  5.131501e-07  1.018756e-06  2.350742e-10  9.381175e-06  8.408279e-10  2.500000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
