 v-sweep       voutval       vloadval      ir1           ir2           ivdd          ivdda         ivddh         ndata         vd9           vd8           vd7           vd6           vd5           vd4           vd3           vd2           vd1           vd0          
 5.000000e+00  3.156681e-04  3.156681e-04  5.131501e-07  1.018756e-06  2.343533e-10  9.096424e-06  9.053073e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  5.139348e-02  5.139348e-02  5.131501e-07  1.018756e-06  2.343531e-10  9.195868e-06  9.042735e-10  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  9.731672e-02  9.731672e-02  5.131501e-07  1.018756e-06  2.343554e-10  9.220508e-06  9.030123e-10  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  1.385450e-01  1.385450e-01  5.131501e-07  1.018756e-06  2.343543e-10  9.227931e-06  9.021063e-10  3.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  1.764932e-01  1.764932e-01  5.131501e-07  1.018756e-06  2.343501e-10  9.231231e-06  9.012466e-10  4.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  2.120952e-01  2.120952e-01  5.131501e-07  1.018756e-06  2.343553e-10  9.233146e-06  9.003229e-10  5.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  2.453571e-01  2.453571e-01  5.131501e-07  1.018756e-06  2.343553e-10  9.234464e-06  8.992713e-10  6.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  2.749786e-01  2.749786e-01  5.131501e-07  1.018756e-06  2.343553e-10  9.235473e-06  8.990403e-10  7.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  3.031960e-01  3.031960e-01  5.131501e-07  1.018756e-06  2.343534e-10  9.236421e-06  8.963261e-10  8.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  3.300074e-01  3.300074e-01  5.131501e-07  1.018756e-06  2.343537e-10  9.237418e-06  8.957256e-10  9.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  3.554151e-01  3.554151e-01  5.131501e-07  1.018756e-06  2.343550e-10  9.238570e-06  8.956688e-10  1.000000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  3.798862e-01  3.798862e-01  5.131501e-07  1.018756e-06  2.343562e-10  9.240012e-06  8.946314e-10  1.100000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
