 v-sweep       d0            d1            d2            d3            d4            d5            d6            d7            d8            d9            load          v-sweep       vmeas#branch  vmeas1#branch vmeas2#branch vmeas3#branch vmeas5#branch vout          ndata        
 0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.467098e-04  0.000000e+00  1.134009e-05  2.211340e-09  1.348363e-06  5.302649e-07  2.461690e-20  4.467098e-04  0.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.258064e-02  0.000000e+00  1.145179e-05  2.211340e-09  1.348363e-06  5.302649e-07  3.827530e-20  5.258064e-02  1.000000e+00 
 0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  9.878925e-02  0.000000e+00  1.148131e-05  2.211340e-09  1.348363e-06  5.302649e-07  4.460158e-20  9.878925e-02  2.000000e+00 
 0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.396162e-01  0.000000e+00  1.149002e-05  2.211337e-09  1.348363e-06  5.302649e-07 -5.837910e-20  1.396162e-01  3.000000e+00 
 0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.766817e-01  0.000000e+00  1.149378e-05  2.211340e-09  1.348363e-06  5.302649e-07 -1.411236e-19  1.766817e-01  4.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.110605e-01  0.000000e+00  1.149586e-05  2.211340e-09  1.348363e-06  5.302649e-07  1.603010e-19  2.110605e-01  5.000000e+00 
 0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.427529e-01  0.000000e+00  1.149718e-05  2.211337e-09  1.348363e-06  5.302649e-07  1.972726e-19  2.427529e-01  6.000000e+00 
 0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.722967e-01  0.000000e+00  1.149816e-05  2.211341e-09  1.348363e-06  5.302649e-07 -9.527797e-20  2.722967e-01  7.000000e+00 
 0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.002292e-01  0.000000e+00  1.149896e-05  2.211340e-09  1.348363e-06  5.302649e-07  2.474991e-19  3.002292e-01  8.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.265502e-01  0.000000e+00  1.149970e-05  2.211338e-09  1.348363e-06  5.302649e-07 -3.644558e-19  3.265502e-01  9.000000e+00 
