 v-sweep       d0            d1            d2            d3            d4            d5            d6            d7            d8            d9            load          v-sweep       vmeas#branch  vmeas1#branch vmeas2#branch vmeas3#branch vmeas5#branch vout          ndata        
 0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  7.007767e-04  0.000000e+00  8.448783e-06  2.322094e-10  9.999978e-07  3.999992e-07 -5.135137e-21  7.007767e-04  0.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.259478e-02  0.000000e+00  8.521483e-06  2.322129e-10  9.999978e-07  3.999992e-07 -1.815827e-20  5.259478e-02  1.000000e+00 
 0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  9.879785e-02  0.000000e+00  8.541566e-06  2.322127e-10  9.999978e-07  3.999992e-07  9.105604e-21  9.879785e-02  2.000000e+00 
 0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.396234e-01  0.000000e+00  8.547507e-06  2.322134e-10  9.999978e-07  3.999992e-07  8.519299e-20  1.396234e-01  3.000000e+00 
 0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.766884e-01  0.000000e+00  8.550160e-06  2.322140e-10  9.999978e-07  3.999993e-07 -1.098430e-19  1.766884e-01  4.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.110668e-01  0.000000e+00  8.551754e-06  2.322105e-10  9.999978e-07  3.999992e-07  6.696192e-20  2.110668e-01  5.000000e+00 
 0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.427589e-01  0.000000e+00  8.552930e-06  2.322133e-10  9.999978e-07  3.999992e-07  8.724439e-20  2.427589e-01  6.000000e+00 
 0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.723025e-01  0.000000e+00  8.554000e-06  2.322137e-10  9.999978e-07  3.999992e-07 -4.360896e-21  2.723025e-01  7.000000e+00 
 0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.002349e-01  0.000000e+00  8.555144e-06  2.322130e-10  9.999978e-07  3.999992e-07 -3.598037e-19  3.002349e-01  8.000000e+00 
 0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.265556e-01  0.000000e+00  8.556525e-06  2.322121e-10  9.999978e-07  3.999992e-07  3.658124e-20  3.265556e-01  9.000000e+00 
