 frequency  @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cdd] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgb] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgd] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgdo] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgg] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgs] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgso] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[css] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[gds] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[gm] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[gmbs] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[id] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[l] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[vds] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[vdsat] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[vgs] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[vth] frequency  vsb       
 1.000e+00  4.573e-17 -2.405e-15 -4.035e-17  1.074e-15  2.423e-15  2.294e-17  1.074e-15 -1.028e-17  1.128e-14  0.000e+00  0.000e+00  0.000e+00  5.000e-07 -3.963e-48  4.250e-02  9.604e-49  9.528e-01  1.000e+00  0.000e+00 
 1.000e+00  1.486e-17 -1.750e-15 -1.393e-17  1.074e-15  1.756e-15  7.345e-18  1.074e-15 -3.424e-18  1.680e-16  0.000e+00  0.000e+00  0.000e+00  5.000e-07  0.000e+00  4.512e-02  2.320e-14  1.059e+00  1.000e+00  4.000e-01 
 1.000e+00  5.772e-18 -1.442e-15 -5.673e-18  1.074e-15  1.445e-15  2.839e-18  1.074e-15 -1.331e-18  4.847e-18  0.000e+00  0.000e+00  0.000e+00  5.000e-07  0.000e+00  4.730e-02  4.640e-14  1.148e+00  1.000e+00  8.000e-01 
 1.000e+00  2.521e-18 -1.254e-15 -2.581e-18  1.074e-15  1.256e-15  1.221e-18  1.074e-15 -5.812e-19  2.139e-19  0.000e+00  0.000e+00  0.000e+00  5.000e-07  0.000e+00  4.926e-02  6.960e-14  1.228e+00  1.000e+00  1.200e+00 
 1.000e+00  6.088e-19 -1.029e-15 -6.690e-19  1.074e-15  1.030e-15  2.549e-19  1.074e-15 -1.398e-19  9.694e-22  9.328e-54 -9.998e-40  0.000e+00  5.000e-07  2.524e-29  5.283e-02  1.160e-13  1.365e+00  1.000e+00  2.000e+00 
 1.000e+00  1.380e-19 -8.676e-16 -1.637e-19  1.074e-15  8.677e-16  1.726e-20  1.074e-15 -3.167e-20  3.253e-24  0.000e+00  0.000e+00  0.000e+00  5.000e-07 -2.524e-29  5.700e-02  1.740e-13  1.510e+00  1.000e+00  3.000e+00 
 1.000e+00  2.195e-18 -2.407e-15 -1.742e-18  1.072e-15  2.420e-15 -1.138e-17  1.074e-15  9.507e-18  1.691e-15  6.675e-15  3.184e-15  2.750e-16  5.000e-07  5.000e-02  4.250e-02 -1.595e-17  9.525e-01  1.000e+00  0.000e+00 
 1.000e+00  7.028e-19 -1.750e-15 -5.884e-19  1.072e-15  1.755e-15 -4.578e-18  1.074e-15  3.049e-18  2.799e-17  1.108e-16  4.032e-17  4.259e-18  5.000e-07  5.000e-02  4.512e-02  2.320e-14  1.058e+00  1.000e+00  4.000e-01 
 1.000e+00  2.713e-19 -1.442e-15 -2.373e-19  1.072e-15  1.444e-15 -2.018e-18  1.074e-15  1.184e-18  8.780e-19  3.442e-18  1.038e-18  1.266e-19  5.000e-07  5.000e-02  4.730e-02  4.640e-14  1.148e+00  1.000e+00  8.000e-01 
 1.000e+00  1.181e-19 -1.255e-15 -1.073e-19  1.072e-15  1.256e-15 -9.882e-19  1.074e-15  5.173e-19  4.166e-20  1.608e-19  4.197e-20  5.732e-21  5.000e-07  5.000e-02  4.925e-02  6.960e-14  1.227e+00  1.000e+00  1.200e+00 
