 v-sweep         out             load           
-1.00000000e+00  3.06162948e-04 -2.93821324e-07 
-9.90000000e-01  3.43349671e-04 -3.31322831e-07 
-9.80000000e-01  2.64128267e-04 -2.50703306e-07 
-9.70000000e-01  1.93716806e-04 -1.78676097e-07 
-9.60000000e-01  1.15252140e-04 -9.72513864e-08 
-9.50000000e-01  3.47016800e-04 -2.81841856e-07 
-9.40000000e-01  3.24903457e-04 -2.57731728e-07 
-9.30000000e-01  2.97300449e-04 -2.27842378e-07 
-9.20000000e-01  2.96444924e-04 -2.24838944e-07 
-9.10000000e-01  3.30006294e-04 -2.56376823e-07 
-9.00000000e-01  2.67295914e-05 -3.33368459e-09 
-8.90000000e-01  5.77147844e-05 -3.62768987e-08 
-8.80000000e-01  1.02900285e-04 -8.37595149e-08 
-8.70000000e-01  7.54906916e-05 -5.50615114e-08 
-8.60000000e-01  7.35145991e-05 -5.30332514e-08 
-8.50000000e-01  6.83580167e-05 -4.76951880e-08 
-8.40000000e-01  3.92146754e-04 -3.78145613e-07 
-8.30000000e-01  3.98126899e-04 -3.84303163e-07 
-8.20000000e-01  3.94782100e-04 -3.80952982e-07 
-8.10000000e-01  3.87395288e-04 -3.73435645e-07 
-8.00000000e-01  3.88617908e-04 -3.73921179e-07 
-7.90000000e-01  3.62743131e-04 -2.66661814e-07 
-7.80000000e-01  4.76361552e-05 -2.59074971e-08 
-7.70000000e-01  3.54075904e-04 -2.54339938e-07 
-7.60000000e-01  3.36788765e-04 -2.35448658e-07 
-7.50000000e-01  3.03546742e-04 -2.66161438e-07 
-7.40000000e-01  3.12008350e-04 -2.56074213e-07 
-7.30000000e-01  2.35593997e-04 -1.56029838e-07 
-7.20000000e-01 -7.71579866e-05  1.05073500e-07 
-7.10000000e-01 -1.05919043e-04  1.36810695e-07 
-7.00000000e-01  1.12339517e-04  9.87274543e-09 
-6.90000000e-01  5.36810882e-05  7.21172802e-08 
-6.80000000e-01  2.25505235e-04 -4.83374744e-07 
-6.70000000e-01  2.21860888e-04 -4.78035248e-07 
-6.60000000e-01  2.17036522e-04 -4.70008607e-07 
-6.50000000e-01  2.12287296e-04 -4.62102379e-07 
-6.40000000e-01 -6.78058860e-05  9.54510911e-08 
-6.30000000e-01 -8.99886681e-05  9.76494558e-08 
-6.20000000e-01 -9.52435407e-05  1.01680706e-07 
-6.10000000e-01 -9.94523936e-05  1.05043879e-07 
-6.00000000e-01 -1.06106181e-04  1.09577788e-07 
-5.90000000e-01 -1.13821553e-04  1.14367215e-07 
-5.80000000e-01 -1.20051344e-04  1.15274854e-07 
-5.70000000e-01 -1.14824492e-04  1.15979916e-07 
-5.60000000e-01  2.01246744e-04 -4.54083074e-07 
-5.50000000e-01  2.26602815e-04 -5.08309144e-07 
-5.40000000e-01  2.77866935e-05 -6.73562446e-09 
-5.30000000e-01  7.21807246e-05 -5.22416862e-08 
-5.20000000e-01  1.17481712e-04 -9.81012654e-08 
-5.10000000e-01  1.56281462e-04 -1.36684748e-07 
-5.00000000e-01  2.78554187e-08  2.78554184e-08 
-4.90000000e-01  2.25207792e-04 -2.04269931e-07 
-4.80000000e-01  2.60531992e-04 -2.38493418e-07 
-4.70000000e-01  2.96141659e-04 -2.72784581e-07 
-4.60000000e-01 -2.17814235e-04  1.75097142e-07 
-4.50000000e-01  3.47384758e-04 -3.21873750e-07 
-4.40000000e-01  3.61726616e-04 -3.35120807e-07 
-4.30000000e-01 -2.29777070e-04  1.90717552e-07 
-4.20000000e-01  3.74078094e-04 -3.45746901e-07 
-4.10000000e-01  3.76524219e-04 -3.47530182e-07 
-4.00000000e-01  3.76884212e-04 -3.47209170e-07 
-3.90000000e-01 -1.79165185e-06  2.53362279e-08 
-3.80000000e-01  3.74189369e-04 -3.43263942e-07 
-3.70000000e-01  3.72610420e-04 -3.41063071e-07 
