 v-sweep         b0              b1              b2              b3              b4              b5              bb0             bb1             bb2             bb3             bb4             bb5             v-sweep         vout           
 0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.84095736e+00 
 1.75781250e-03  1.80000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.75781250e-03  4.84095737e+00 
 3.51562500e-03 -0.00000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.51562500e-03  2.24552963e+01 
 5.27343750e-03  1.80000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.27343750e-03  4.84095739e+00 
 7.03125000e-03 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.03125000e-03  4.84095740e+00 
 8.78906250e-03  1.80000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.78906250e-03  4.84095741e+00 
 1.05468750e-02 -0.00000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.05468750e-02  4.84095742e+00 
 1.23046875e-02  1.80000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.23046875e-02  4.84095743e+00 
 1.40625000e-02 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.40625000e-02  4.84095741e+00 
 1.58203125e-02  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.58203125e-02  4.84095742e+00 
 1.75781250e-02 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.75781250e-02  4.84095744e+00 
 1.93359375e-02  1.80000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.93359375e-02  4.84095744e+00 
 2.10937500e-02 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  2.10937500e-02  4.84095745e+00 
 2.28515625e-02  1.80000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  2.28515625e-02  4.84095746e+00 
