L W R Segment
4.7234104893056 1.41 6699.87303447602 1
4.14503369469675 1.41 5879.48041800957 1
3.66305303252271 1.41 5195.81990428753 1
3.32566656900088 1.41 4717.2575446821 1
3.08467623791386 1.41 4375.42728782108 1
2.84368590682684 1.41 4033.59703096006 1
2.65089364195722 1.41 3760.13282547123 1
2.50629944330502 1.41 3555.03467135463 1
2.3617052446528 1.41 3349.93651723801 1
2.21711104600059 1.41 3144.8383631214 1
2.12071491356578 1.41 3008.10626037699 1
2.02431878113097 1.41 2871.37415763258 1
1.92792264869616 1.41 2734.64205488817 1
1.87972458247876 1.41 2666.27600351597 1
1.78332845004395 1.41 2529.54390077156 1
1.73513038382655 1.41 2461.17784939936 1
1.63873425139173 1.41 2324.44574665494 1
1.63873425139174 1.41 2324.44574665496 1
1.54233811895693 1.41 2187.71364391054 1
1.54233811895692 1.41 2187.71364391052 1
1.44594198652213 1.41 2050.98154116614 1
1.44594198652212 1.41 2050.98154116613 1
1.39774392030472 1.41 1982.61548979393 1
1.39774392030471 1.41 1982.61548979391 1
1.30134778786992 1.41 1845.88338704953 1
1.30134778786991 1.41 1845.88338704951 1
1.25314972165251 1.41 1777.51733567732 1
1.25314972165251 1.41 1777.51733567732 1
1.2049516554351 1.41 1709.1512843051 1
1.20495165543509 1.41 1709.15128430509 1
1.15675358921772 1.41 1640.78523293293 1
1.15675358921769 1.41 1640.78523293289 1
1.10855552300031 1.41 1572.41918156072 1
1.10855552300029 1.41 1572.41918156069 1
1.10855552300028 1.41 1572.41918156068 1
1.06035745678291 1.41 1504.05313018852 1
1.01215939056548 1.41 1435.68707881628 1
1.0603574567829 1.41 1504.05313018851 1
1.01215939056548 1.41 1435.68707881628 1
0.963961324348086 1.41 1367.32102744409 1
1.01215939056548 1.41 1435.68707881628 1
0.963961324348086 1.41 1367.32102744409 1
0.915763258130686 1.41 1298.95497607189 1
0.963961324348076 1.41 1367.32102744408 1
0.915763258130675 1.41 1298.95497607188 1
0.915763258130686 1.41 1298.95497607189 1
0.915763258130675 1.41 1298.95497607188 1
0.867565191913275 1.41 1230.58892469968 1
0.915763258130675 1.41 1298.95497607188 1
0.867565191913265 1.41 1230.58892469967 1
0.819367125695865 1.41 1162.22287332747 1
0.867565191913285 1.41 1230.5889246997 1
0.819367125695865 1.41 1162.22287332747 1
0.819367125695855 1.41 1162.22287332745 1
0.819367125695885 1.41 1162.2228733275 1
0.819367125695865 1.41 1162.22287332747 1
0.819367125695865 1.41 1162.22287332747 1
0.771169059478464 1.41 1093.85682195527 1
0.771169059478454 1.41 1093.85682195525 1
0.771169059478475 1.41 1093.85682195528 1
0.771169059478454 1.41 1093.85682195525 1
0.771169059478475 1.41 1093.85682195528 1
0.771169059478464 1.41 1093.85682195527 1
0.722970993261064 1.41 1025.49077058307 1
11.0373571637855 1.41 15655.8257642348 2
9.78420744213302 1.41 13878.3084285575 2
8.82024611778493 1.41 12510.9874011134 2
8.14547319074131 1.41 11553.8626819026 2
7.56709639613236 1.41 10733.470065436 2
7.13331380017582 1.41 10118.1756030863 2
6.7477292704366 1.41 9571.24719210865 2
6.41034280691474 1.41 9092.68483250318 2
6.12115440961032 1.41 8682.48852426995 2
5.92836214474069 1.41 8409.02431878113 2
5.73556987987105 1.41 8135.56011329227 2
5.54277761500151 1.41 7862.09590780357 2
5.39818341634923 1.41 7656.99775368685 2
5.30178728391443 1.41 7520.26565094246 2
5.15719308526227 1.41 7315.16749682592 2
5.01259888660999 1.41 7110.0693427092 2
4.96440082039263 1.41 7041.70329133706 2
4.91620275417523 1.41 6973.33723996487 2
4.81980662174039 1.41 6836.60513722041 2
4.72341048930559 1.41 6699.87303447601 2
4.72341048930563 1.41 6699.87303447607 2
4.67521242308815 1.41 6631.50698310375 2
4.62701435687079 1.41 6563.14093173161 2
4.57881629065339 1.41 6494.77488035941 2
4.57881629065343 1.41 6494.77488035947 2
4.57881629065335 1.41 6494.77488035936 2
