 frequency  @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cdd] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgb] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgd] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgdo] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgg] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgs] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgso] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[css] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[gds] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[gm] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[gmbs] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[id] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[l] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[vds] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[vdsat] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[vgs] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[vth] frequency 
 1.000e+00  1.902e-16 -2.253e-15 -1.653e-16  1.574e-15  2.332e-15  8.658e-17  1.574e-15 -2.352e-17  2.378e-11  0.000e+00  0.000e+00  0.000e+00  5.000e-07  9.821e-42  4.188e-02  4.910e-42  8.356e-01  1.000e+00 
 1.000e+00  6.352e-17 -1.898e-15 -5.751e-17  1.574e-15  1.927e-15  2.835e-17  1.574e-15 -8.962e-18  1.503e-12  0.000e+00  0.000e+00  0.000e+00  5.000e-07  0.000e+00  4.358e-02  2.323e-14  9.295e-01  1.000e+00 
 1.000e+00  2.463e-17 -1.668e-15 -2.289e-17  1.574e-15  1.681e-15  1.040e-17  1.574e-15 -3.470e-18  1.593e-13  3.065e-41  8.058e-42  1.558e-42  5.000e-07  6.311e-30  4.471e-02  4.643e-14  1.007e+00  1.000e+00 
 1.000e+00  1.061e-17 -1.506e-15 -1.005e-17  1.574e-15  1.511e-15  4.234e-18  1.574e-15 -1.469e-18  2.336e-14  1.501e-39  3.334e-40  0.000e+00  5.000e-07 -1.262e-29  4.555e-02  6.963e-14  1.074e+00  1.000e+00 
 1.000e+00  2.288e-18 -2.261e-15 -1.732e-18  1.554e-15  2.313e-15 -5.071e-17  1.574e-15  5.695e-17  2.676e-12  1.521e-11  6.619e-12  8.537e-13  5.000e-07  1.000e-01  4.188e-02 -4.951e-14  8.354e-01  1.000e+00 
 1.000e+00  7.175e-19 -1.900e-15 -5.604e-19  1.554e-15  1.920e-15 -1.995e-17  1.574e-15  1.821e-17  1.803e-13  1.050e-12  3.377e-13  5.547e-14  5.000e-07  1.000e-01  4.358e-02  2.002e-14  9.294e-01  1.000e+00 
 1.000e+00  2.719e-19 -1.669e-15 -2.158e-19  1.554e-15  1.678e-15 -8.815e-18  1.574e-15  7.057e-18  2.011e-14  1.179e-13  3.063e-14  5.996e-15  5.000e-07  1.000e-01  4.471e-02  4.608e-14  1.007e+00  1.000e+00 
 1.000e+00  1.157e-19 -1.506e-15 -9.267e-20  1.554e-15  1.510e-15 -4.193e-18  1.574e-15  3.062e-18  3.084e-15  1.806e-14  3.974e-15  8.938e-16  5.000e-07  1.000e-01  4.555e-02  6.958e-14  1.074e+00  1.000e+00 
 1.000e+00  3.879e-19 -2.261e-15 -2.726e-19  1.534e-15  2.312e-15 -5.127e-17  1.574e-15  5.724e-17  1.739e-12  1.884e-11  8.173e-12  1.057e-12  5.000e-07  2.000e-01  4.188e-02 -6.133e-14  8.353e-01  1.000e+00 
 1.000e+00  1.194e-19 -1.900e-15 -8.180e-20  1.534e-15  1.920e-15 -2.015e-17  1.574e-15  1.831e-17  1.195e-13  1.313e-12  4.206e-13  6.934e-14  5.000e-07  2.000e-01  4.358e-02  1.921e-14  9.292e-01  1.000e+00 
 1.000e+00  4.411e-20 -1.669e-15 -2.866e-20  1.534e-15  1.678e-15 -8.896e-18  1.574e-15  7.098e-18  1.362e-14  1.487e-13  3.846e-14  7.560e-15  5.000e-07  2.000e-01  4.471e-02  4.599e-14  1.007e+00  1.000e+00 
 1.000e+00  1.827e-20 -1.506e-15 -1.105e-20  1.534e-15  1.510e-15 -4.230e-18  1.574e-15  3.080e-18  2.132e-15  2.297e-14  5.030e-15  1.136e-15  5.000e-07  2.000e-01  4.555e-02  6.957e-14  1.073e+00  1.000e+00 
 1.000e+00  1.094e-19 -2.261e-15 -6.347e-20  1.517e-15  2.312e-15 -5.130e-17  1.574e-15  5.729e-17  1.590e-12  2.178e-11  9.424e-12  1.222e-12  5.000e-07  3.000e-01  4.188e-02 -7.089e-14  8.352e-01  1.000e+00 
 1.000e+00  3.116e-20 -1.900e-15 -1.279e-20  1.517e-15  1.920e-15 -2.017e-17  1.574e-15  1.833e-17  1.106e-13  1.529e-12  4.883e-13  8.074e-14  5.000e-07  3.000e-01  4.358e-02  1.855e-14  9.291e-01  1.000e+00 
 1.000e+00  1.047e-20 -1.669e-15 -1.621e-21  1.517e-15  1.678e-15 -8.907e-18  1.574e-15  7.109e-18  1.274e-14  1.744e-13  4.495e-14  8.867e-15  5.000e-07  3.000e-01  4.471e-02  4.592e-14  1.006e+00  1.000e+00 
 1.000e+00  3.858e-21 -1.506e-15  7.575e-22  1.517e-15  1.510e-15 -4.236e-18  1.574e-15  3.086e-18  2.014e-15  2.712e-14  5.917e-15  1.342e-15  5.000e-07  3.000e-01  4.555e-02  6.955e-14  1.073e+00  1.000e+00 
 1.000e+00  3.091e-20 -2.261e-15 -5.137e-21  1.503e-15  2.312e-15 -5.132e-17  1.574e-15  5.734e-17  1.541e-12  2.456e-11  1.061e-11  1.378e-12  5.000e-07  4.000e-01  4.188e-02 -7.995e-14  8.351e-01  1.000e+00 
 1.000e+00  6.244e-21 -1.900e-15  6.525e-21  1.503e-15  1.920e-15 -2.019e-17  1.574e-15  1.835e-17  1.081e-13  1.735e-12  5.528e-13  9.165e-14  5.000e-07  4.000e-01  4.358e-02  1.792e-14  9.289e-01  1.000e+00 
 1.000e+00  9.476e-22 -1.669e-15  5.960e-21  1.503e-15  1.678e-15 -8.917e-18  1.574e-15  7.120e-18  1.253e-14  1.992e-13  5.119e-14  1.013e-14  5.000e-07  4.000e-01  4.471e-02  4.585e-14  1.006e+00  1.000e+00 
 1.000e+00 -2.211e-22 -1.506e-15  4.073e-21  1.503e-15  1.510e-15 -4.242e-18  1.574e-15  3.092e-18  1.994e-15  3.117e-14  6.777e-15  1.542e-15  5.000e-07  4.000e-01  4.555e-02  6.954e-14  1.073e+00  1.000e+00 
 1.000e+00  6.710e-22 -2.261e-15  1.724e-20  1.492e-15  2.312e-15 -5.135e-17  1.574e-15  5.738e-17  1.522e-12  2.729e-11  1.176e-11  1.532e-12  5.000e-07  5.000e-01  4.188e-02 -8.883e-14  8.350e-01  1.000e+00 
 1.000e+00 -3.385e-21 -1.900e-15  1.396e-20  1.492e-15  1.920e-15 -2.020e-17  1.574e-15  1.838e-17  1.073e-13  1.939e-12  6.163e-13  1.024e-13  5.000e-07  5.000e-01  4.358e-02  1.729e-14  9.288e-01  1.000e+00 
 1.000e+00 -2.736e-21 -1.669e-15  8.884e-21  1.492e-15  1.678e-15 -8.928e-18  1.574e-15  7.130e-18  1.251e-14  2.238e-13  5.736e-14  1.138e-14  5.000e-07  5.000e-01  4.471e-02  4.577e-14  1.006e+00  1.000e+00 
 1.000e+00 -1.802e-21 -1.506e-15  5.356e-21  1.492e-15  1.510e-15 -4.249e-18  1.574e-15  3.098e-18  2.000e-15  3.520e-14  7.631e-15  1.742e-15  5.000e-07  5.000e-01  4.555e-02  6.953e-14  1.073e+00  1.000e+00 
 1.000e+00 -1.340e-20 -2.261e-15  2.762e-20  1.483e-15  2.312e-15 -5.138e-17  1.574e-15  5.744e-17  1.516e-12  3.000e-11  1.290e-11  1.683e-12  5.000e-07  6.000e-01  4.188e-02 -9.764e-14  8.348e-01  1.000e+00 
 1.000e+00 -7.874e-21 -1.900e-15  1.742e-20  1.483e-15  1.920e-15 -2.022e-17  1.574e-15  1.840e-17  1.074e-13  2.142e-12  6.795e-13  1.131e-13  5.000e-07  6.000e-01  4.358e-02  1.667e-14  9.286e-01  1.000e+00 
 1.000e+00 -4.456e-21 -1.669e-15  1.025e-20  1.483e-15  1.678e-15 -8.939e-18  1.574e-15  7.141e-18  1.257e-14  2.485e-13  6.353e-14  1.263e-14  5.000e-07  6.000e-01  4.471e-02  4.570e-14  1.006e+00  1.000e+00 
 1.000e+00 -2.541e-21 -1.506e-15  5.958e-21  1.483e-15  1.510e-15 -4.256e-18  1.574e-15  3.104e-18  2.017e-15  3.926e-14  8.489e-15  1.943e-15  5.000e-07  6.000e-01  4.555e-02  6.952e-14  1.073e+00  1.000e+00 
 1.000e+00 -2.082e-20 -2.261e-15  3.309e-20  1.476e-15  2.312e-15 -5.142e-17  1.574e-15  5.749e-17  1.518e-12  3.270e-11  1.404e-11  1.835e-12  5.000e-07  7.000e-01  4.188e-02 -1.064e-13  8.347e-01  1.000e+00 
 1.000e+00 -1.025e-20 -1.900e-15  1.925e-20  1.476e-15  1.920e-15 -2.024e-17  1.574e-15  1.842e-17  1.079e-13  2.346e-12  7.427e-13  1.239e-13  5.000e-07  7.000e-01  4.358e-02  1.605e-14  9.285e-01  1.000e+00 
 1.000e+00 -5.368e-21 -1.669e-15  1.098e-20  1.476e-15  1.678e-15 -8.951e-18  1.574e-15  7.153e-18  1.267e-14  2.733e-13  6.973e-14  1.389e-14  5.000e-07  7.000e-01  4.471e-02  4.563e-14  1.006e+00  1.000e+00 
 1.000e+00 -2.935e-21 -1.506e-15  6.281e-21  1.476e-15  1.510e-15 -4.263e-18  1.574e-15  3.110e-18  2.040e-15  4.336e-14  9.354e-15  2.145e-15  5.000e-07  7.000e-01  4.555e-02  6.951e-14  1.072e+00  1.000e+00 
 1.000e+00 -2.511e-20 -2.261e-15  3.625e-20  1.470e-15  2.312e-15 -5.146e-17  1.574e-15  5.754e-17  1.523e-12  3.541e-11  1.519e-11  1.987e-12  5.000e-07  8.000e-01  4.188e-02 -1.152e-13  8.346e-01  1.000e+00 
